Date,USD/JPY,HKD/JPY,EUR/JPY,CNY/JPY,KRW/JPY,THB/JPY,TWD/JPY
11/1/1996,113.5,,,,,,
12/1/1996,113.699997,,,,,,
1/1/1997,115.949997,,,,,,
2/1/1997,121.32,,,,,,
3/1/1997,120.449997,,,,,,
4/1/1997,123.940002,,,,,,
5/1/1997,127.099998,,,,,,
6/1/1997,116.290001,,,,,,
7/1/1997,114.709999,,,,,,
8/1/1997,118.449997,,,,,,
9/1/1997,120.480003,,,,,,
10/1/1997,120.449997,,,,,,
11/1/1997,120.400002,,,,,,
12/1/1997,127.790001,,,,,,
1/1/1998,130.570007,,,,,,
2/1/1998,126.849998,,,,,,
3/1/1998,126.050003,,,,,,
4/1/1998,133.130005,,,,,,
5/1/1998,132.699997,,,,,,
6/1/1998,138.300003,,,,,,
7/1/1998,138.279999,,,,,,
8/1/1998,144.649994,,,,,,
9/1/1998,139.350006,,,,,,
10/1/1998,136.360001,,,,,,
11/1/1998,116.300003,,,,,,
12/1/1998,122.900002,,,,,,
1/1/1999,113.199997,,,,,,
2/1/1999,115.82,,,,,,
3/1/1999,119.269997,,,,,,
4/1/1999,118.730003,,,,,,
5/1/1999,119.400002,,,,,,
6/1/1999,121.620003,,,,,,
7/1/1999,120.900002,,,,,,
8/1/1999,114.480003,,,,,,
9/1/1999,109.739998,,,,,,
10/1/1999,106.129997,,,,,,
11/1/1999,104.160004,,,,,,
12/1/1999,102.059998,,,,,,
1/1/2000,102.18,,,,,,
2/1/2000,107.190002,,,,,,
3/1/2000,110.07,,,,,,
4/1/2000,102.940002,,,,,,
5/1/2000,108.120003,,,,,,
6/1/2000,107.620003,,,,,,
7/1/2000,106.040001,,,,,,
8/1/2000,109.269997,,,,,,
9/1/2000,106.660004,,,,,,
10/1/2000,108.129997,,,,,,
11/1/2000,108.779999,,,,,,
12/1/2000,110.379997,,,,,,
1/1/2001,114.610001,,,,,,
2/1/2001,116.589996,,,,,,
3/1/2001,117.269997,,,,,,
4/1/2001,126.110001,,,,,,
5/1/2001,123.389999,,,,,,
6/1/2001,119.209999,,,,,,
7/1/2001,124.650002,,,,,,
8/1/2001,125,,,,,,
9/1/2001,118.739998,,,,,,
10/1/2001,119.5,,,,,,
11/1/2001,122.400002,,,,,,
12/1/2001,123.459999,,,,,,
1/1/2002,131.669998,,,,,,
2/1/2002,134.889999,,,,,,
3/1/2002,133.429993,,,,,,
4/1/2002,132.949997,,,,,,
5/1/2002,128.509995,,,,,,
6/1/2002,124.099998,,,,,,
7/1/2002,119.610001,,,,,,
8/1/2002,119.769997,,,,,,
9/1/2002,118.910004,,,,,,
10/1/2002,121.830002,,,,,,
11/1/2002,122.459999,,,,,,
12/1/2002,122.550003,,,,,,
1/1/2003,118.75,,,,,,
2/1/2003,119.940002,,129.110001,,,,
3/1/2003,118.089996,,127.620003,,,,
4/1/2003,118,,128.800003,,,,
5/1/2003,118.830002,,132.770004,,,,
6/1/2003,119.300003,,140.440002,,,,
7/1/2003,119.660004,,137.880005,,,,
8/1/2003,120.540001,,135.440002,,,,
9/1/2003,116.660004,,128.210007,,,,
10/1/2003,111.279999,,129.880005,,,,
11/1/2003,110,,127.43,,,,
12/1/2003,109.830002,14.142,132.160004,,9.1711,2.7599,3.2228
1/1/2004,106.949997,13.835,135.160004,,9.0056,2.7209,3.1811
2/1/2004,105.650002,13.6,131.740005,,9.0187,2.6969,3.1884
3/1/2004,109.089996,14.017,136.740005,,9.326,2.797,3.3034
4/1/2004,104.199997,13.376,128.320007,,8.9297,2.6546,3.189
5/1/2004,110.25,14.152,132.25,,9.3921,2.7595,3.314
6/1/2004,109.5,14.053,133.520004,,9.4409,2.7019,3.2608
7/1/2004,108.849998,13.959,132.630005,,9.4132,2.6627,3.2301
8/1/2004,111.449997,14.259,133.779999,,9.5465,2.6915,3.2505
9/1/2004,109.160004,13.998,132.910004,,9.481,2.619,3.2229
10/1/2004,110.07,14.1168,136.850006,,9.5565,2.661,3.266
11/1/2004,105.800003,13.5911,135.679993,,9.4894,2.593,3.1821
12/1/2004,102.889999,13.235,136.820007,,9.8174,2.6173,3.1949
1/1/2005,102.510002,13.191,139.059998,,9.8631,2.6447,3.1964
2/1/2005,103.610001,13.284,135.199997,,10.093,2.6864,3.2652
3/1/2005,104.550003,13.407,138.229996,,10.408,2.7301,3.3462
4/1/2005,107.150002,13.74,138.899994,,10.529,2.7386,3.402
5/1/2005,104.709999,13.475,135.190002,,10.533,2.6521,3.3363
6/1/2005,108.410004,13.9335,133.399994,,10.759,2.6683,3.4518
7/1/2005,110.879997,14.267,133.979996,,10.759,2.6876,3.517
8/1/2005,112.699997,14.4961,136.580002,,11.013,2.7027,3.5392
9/1/2005,110.629997,14.2371,136.5,,10.637,2.6784,3.4185
10/1/2005,113.489998,14.626,136.490005,,10.865,2.765,3.412
11/1/2005,116.440002,15.0182,139.580002,,11.145,2.8525,3.4545
12/1/2005,119.699997,15.439,141.259995,,11.603,2.9,3.5794
1/1/2006,117.82,15.232,139.860001,,11.672,2.8804,3.5995
2/1/2006,117.32,15.126,142.5,,12.216,3.0088,3.6796
3/1/2006,115.779999,14.928,138.145004,,11.996,2.9624,3.5842
4/1/2006,117.760002,15.175,142.639999,,12.06,3.0281,3.6336
5/1/2006,113.699997,14.665,143.539993,,12.125,3.025,3.5846
6/1/2006,112.550003,14.507,144.199997,,11.859,2.9453,3.4964
7/1/2006,114.43,14.745,146.339996,,12.077,3.0029,3.5557
8/1/2006,114.510002,14.7356,146.259995,,12.004,3.0209,3.5013
9/1/2006,117.360001,15.0892,150.190002,,12.19,3.1213,3.5496
10/1/2006,118.029999,15.142,149.690002,,12.469,3.1401,3.5703
11/1/2006,116.800003,15.0164,149.100006,,12.467,3.1875,3.532
12/1/2006,115.650002,14.8706,153.270004,,12.427,3.2267,3.5878
1/1/2007,119.040001,15.307,157.100006,,12.815,3.2915,3.659
2/1/2007,120.760002,15.465,157.220001,,12.908,3.4548,3.6896
3/1/2007,118.75,15.1988,157.080002,,12.631,3.4415,3.6133
4/1/2007,117.779999,15.083,157.360001,,12.566,3.6449,3.5728
5/1/2007,119.360001,15.26,162.960007,,12.812,3.6173,3.5921
6/1/2007,121.754997,15.591,163.800003,,13.124,3.6672,3.6889
7/1/2007,123.150002,15.753,166.699997,,13.365,3.9314,3.7715
8/1/2007,118.440002,15.1336,161.899994,,12.851,3.9373,3.6025
9/1/2007,115.800003,14.854,157.979996,,12.346,3.5583,3.503
10/1/2007,114.82,14.7707,163.800003,,12.589,3.6112,3.5393
11/1/2007,115.400002,14.771,166.979996,,12.825,3.6453,3.5654
12/1/2007,111.57,14.314,163.130005,,12.061,3.6186,3.4255
1/1/2008,111.199997,14.318,163.009995,,11.835,3.7435,3.4155
2/1/2008,106.300003,13.6269,158.035004,,11.279,3.4048,3.3021
3/1/2008,103.5,13.344,157.699997,,11.046,3.3578,3.3575
4/1/2008,101.660004,13.0536,158.729996,,10.337,3.2299,3.3543
5/1/2008,104.400002,13.3959,161.559998,,10.307,3.2632,3.4136
6/1/2008,105.400002,13.5016,164.039993,15.164,10.247,3.2576,3.4784
7/1/2008,106.021004,13.592,167.399994,15.444,10.096,3.1722,3.4871
8/1/2008,109.419998,13.8081,160.615997,16.002001,10.073,3.2106,3.4595
9/1/2008,108.440002,13.8925,159.320007,15.867,9.9707,3.1744,3.4325
10/1/2008,106.059998,13.653,149.539993,15.483,8.7972,3.1368,3.2383
11/1/2008,98.440002,12.669,125.010002,14.319,7.6287,2.7992,2.9788
12/1/2008,95.32,12.3,120.790001,13.53,6.4302,2.659,2.8379
1/1/2009,90.650002,11.7,126.870003,13.013,7.195,2.6128,2.7614
2/1/2009,89.739998,11.597,115.540001,12.887,6.5337,2.5776,2.6767
3/1/2009,97.32,12.579,123.669998,14.247,6.3698,2.7006,2.797
4/1/2009,98.980003,12.7719,131.080002,14.436,7.1933,2.7871,2.9011
5/1/2009,98.690002,12.7334,130.584,14.43,7.7153,2.7988,2.9689
6/1/2009,95.317001,12.2972,134.636002,13.925,7.6009,2.7745,2.9295
7/1/2009,96.321999,12.4273,135.220001,14.09,7.5631,2.8319,2.9186
8/1/2009,94.790001,12.214,134.940002,13.812,7.7314,2.7785,2.9146
9/1/2009,92.775002,11.9688,131.917007,13.547,7.4334,2.7251,2.8109
10/1/2009,89.489998,11.5467,130.125,12.846,7.5916,2.6711,2.7855
11/1/2009,89.93,11.656,133.059998,12.911,7.6352,2.6879,2.7641
12/1/2009,86.290001,11.132,129.740005,12.659,7.4273,2.6042,2.6821
1/1/2010,92.940002,11.988,133.149994,13.278,7.9304,2.7758,2.8907
2/1/2010,90.260002,11.6166,125.230003,12.864,7.7171,2.7033,2.803
3/1/2010,88.844002,11.4445,121.204002,12.794,7.6899,2.7001,2.7808
4/1/2010,93.589996,12.0546,126.419998,13.669,8.2648,2.8901,2.9546
5/1/2010,93.809998,12.086,124.75,13.711,8.46,2.8991,2.9894
6/1/2010,91.18,11.7092,112.027,13.33,7.5899,2.8059,2.8495
7/1/2010,88.426003,11.3534,108.139999,12.949,7.1991,2.7129,2.7267
8/1/2010,86.440002,11.126,112.660004,12.702,7.2898,2.6723,2.7085
9/1/2010,84.139999,10.815,106.726997,12.31,7.0067,2.6842,2.6255
10/1/2010,83.550003,10.7669,113.821999,12.482,7.3417,2.758,2.6749
11/1/2010,80.572998,10.4594,112.351997,12.168,7.2151,2.711,2.6551
12/1/2010,83.666,10.772,108.709999,12.478,7.2007,2.7637,2.7371
1/1/2011,81.139999,10.4364,108.352997,12.35,7.223,2.7095,2.7793
2/1/2011,82.086998,10.5293,112.580002,12.401,7.3336,2.658,2.8359
3/1/2011,81.874001,10.5119,113.156998,12.469,7.2987,2.6818,2.751
4/1/2011,83.360001,10.7163,118.013,12.697,7.576,2.7501,2.8247
5/1/2011,81.230003,10.4574,120.209999,12.494,7.5921,2.7159,2.8252
6/1/2011,81.419998,10.4678,117.470001,12.607,7.5795,2.6949,2.8415
7/1/2011,80.619003,10.3582,116.857002,12.227,7.5396,2.626,2.8025
8/1/2011,77.209999,9.9155,110.901001,11.968,7.3118,2.5901,2.6959
9/1/2011,76.746002,9.8535,110.301003,11.993,7.1934,2.5573,2.6336
10/1/2011,77.209999,9.9161,103.150002,12.007,6.4982,2.4625,2.5087
11/1/2011,78.323997,10.0819,108.524002,12.255,7.009,2.538,2.5902
12/1/2011,77.563004,9.9732,104.240997,12.147,6.794,2.5085,2.5863
1/1/2012,76.769997,9.7039,99.538002,12.207,6.6316,2.4363,2.5457
2/1/2012,76.379997,9.8437,100.329002,12.057,6.7768,2.4499,2.5701
3/1/2012,81.279999,10.4785,108.300003,12.903,7.2621,2.6686,2.7393
4/1/2012,82.860001,10.661,110.480003,13.134,7.3154,2.6842,2.8074
5/1/2012,79.93,10.3024,105.830002,12.653,7.0722,2.6005,2.7429
6/1/2012,78.537003,10.1169,97.087997,12.322,6.651,2.4681,2.6244
7/1/2012,79.809998,10.287,101.040001,12.337,7.0145,2.5318,2.6913
8/1/2012,78.116997,10.0732,96.019997,12.265,6.9089,2.4755,2.6142
9/1/2012,78.43,10.107,98.440002,12.336,6.9163,2.502,2.6208
10/1/2012,77.959999,10.05,99.844002,11.999,6.9429,2.5085,2.6378
11/1/2012,79.860001,10.304,103.529999,12.788,7.3245,2.6017,2.7267
12/1/2012,82.459999,10.642,107.089996,13.23,7.6165,2.6832,2.8318
1/1/2013,86.641998,11.1866,114.459999,13.902,8.1529,2.8339,2.988
2/1/2013,91.699997,11.824,124.82,14.733,8.4321,3.0721,3.1161
3/1/2013,92.57,11.9376,120.900002,14.85,8.5351,3.111,3.1101
4/1/2013,94.262001,12.1431,120.705002,14.797,8.468,3.218,3.1531
5/1/2013,97.260002,12.5327,128.065002,15.758,8.827,3.3227,3.3128
6/1/2013,100.50251,12.947,130.718948,16.358999,8.8805,3.3047,3.3532
7/1/2013,99.411003,12.8169,129.358994,15.736,8.6799,3.1921,3.2869
8/1/2013,97.843002,12.61449,130.130005,15.949,8.7085,3.1298,3.2717
9/1/2013,98.339996,12.657,129.779999,15.635,8.8527,3.0486,3.2721
10/1/2013,98.386002,12.6856,133.039993,16.052,9.1567,3.148,3.3335
11/1/2013,98.332001,12.68119,133.509995,16.108999,9.2642,3.1535,3.3283
12/1/2013,102.43,13.212,139.229996,16.797001,9.6797,3.1963,3.4564
1/1/2014,105.300003,13.576,144.75,17.364,9.9694,3.2171,3.5238
2/1/2014,102.029999,13.141,137.589996,16.813999,9.4342,3.0887,3.3443
3/1/2014,101.790001,13.113,140.429993,16.535,9.5409,3.1227,3.3588
4/1/2014,103.220001,13.30159,142.154007,16.582001,9.718,3.1852,3.3819
5/1/2014,102.241997,13.187,141.789993,16.313,9.8903,3.1592,3.393
6/1/2014,101.803001,13.129,138.850006,16.27,9.969,3.0975,3.3975
7/1/2014,101.279999,13.07,138.699997,16.309999,10.006,3.1235,3.4016
8/1/2014,102.765999,13.2578,137.584,16.625999,9.9964,3.1939,3.4224
9/1/2014,104.168999,13.4388,136.746002,16.917999,10.265,3.2457,3.4708
10/1/2014,109.622002,14.1157,138.434006,17.837999,10.392,3.3817,3.61
11/1/2014,112.35955,14.484,140.660004,18.076,10.464,3.4309,3.6715
12/1/2014,118.874001,15.3296,147.828995,19.191,10.684,3.6084,3.8279
1/1/2015,119.672997,15.434,144.779999,19.259001,10.938,3.6381,3.7613
2/1/2015,116.903999,15.149,132.570007,18.766001,10.655,3.5843,3.696
3/1/2015,119.68,15.415,133.850006,19.052,10.858,3.6937,3.7894
4/1/2015,119.952003,15.471,128.839005,19.32,10.83,3.6866,3.8345
5/1/2015,119.491997,15.4146,133.957001,19.228001,11.079,3.6152,3.912
6/1/2015,124.245003,16.025999,136.121002,19.951,11.128,3.6767,4.0329
7/1/2015,122.407997,15.798,136.272995,19.681,10.918,3.6165,3.9468
8/1/2015,124.042,15.9998,136.059998,19.924,10.616,3.5404,3.9152
9/1/2015,121.112999,15.62583,135.940002,18.961,10.234,3.3799,3.729
10/1/2015,119.869003,15.46934,133.895004,18.834999,10.123,3.2975,3.631
11/1/2015,120.510002,15.5491,132.837006,19.073,10.572,3.3862,3.7187
12/1/2015,123.199997,15.898,130.223999,19.229,10.618,3.4404,3.7685
1/1/2016,120.288002,15.552,130.612,18.339001,10.192,3.3273,3.6464
2/1/2016,121.342003,15.58811,131.363998,18.252001,10.068,3.3745,3.5986
3/1/2016,112.420998,14.45629,122.367996,17.135,9.0763,3.1545,3.3769
4/1/2016,112.480003,14.49801,127.983002,17.422001,9.8434,3.2033,3.4978
5/1/2016,106.294998,13.7015,121.75,16.396999,9.2856,3.0446,3.3097
6/1/2016,110.650002,14.24117,123.203003,16.791,9.2883,3.0973,3.3881
7/1/2016,103.053001,13.27822,114.431,15.388,8.9389,2.9228,3.1926
8/1/2016,102.347,13.19039,114.286003,15.383,9.1988,2.9392,3.2218
9/1/2016,103.306999,13.31693,115.252998,15.446,9.2609,2.983,3.2625
