Date,Korea,China,Taiwan,Hong Kong,Thailand,USA,Europe, Grand Total 
Jan-96," 51,814 "," 1,538 "," 24,891 "," 4,212 ", 708 ," 14,482 "," 9,599 "," 276,086 "
Feb-96," 41,380 "," 1,400 "," 55,635 "," 16,050 "," 1,475 "," 15,117 "," 12,083 "," 283,667 "
Mar-96," 35,576 "," 1,945 "," 44,421 "," 9,900 "," 2,081 "," 24,431 "," 18,023 "," 310,702 "
Apr-96," 41,980 "," 2,179 "," 56,436 "," 12,083 "," 5,617 "," 25,721 "," 17,853 "," 329,303 "
May-96," 45,169 "," 2,181 "," 54,288 "," 8,475 "," 2,405 "," 25,643 "," 13,797 "," 326,156 "
Jun-96," 39,452 "," 2,289 "," 57,163 "," 14,037 "," 1,378 "," 27,618 "," 12,888 "," 316,699 "
Jul-96," 62,764 "," 2,956 "," 81,947 "," 19,132 "," 1,659 "," 27,646 "," 19,916 "," 377,070 "
Aug-96," 70,499 "," 2,881 "," 59,920 "," 16,888 "," 1,236 "," 20,288 "," 16,853 "," 345,020 "
Sep-96," 39,335 "," 3,111 "," 48,245 "," 7,336 "," 1,514 "," 21,625 "," 13,919 "," 311,881 "
Oct-96," 46,401 "," 3,391 "," 64,067 "," 7,798 "," 4,546 "," 31,443 "," 19,774 "," 366,841 "
Nov-96," 42,493 "," 3,234 "," 46,691 "," 7,059 "," 1,746 "," 22,210 "," 16,195 "," 316,551 "
Dec-96," 48,171 "," 2,186 "," 34,488 "," 10,730 "," 2,095 "," 21,578 "," 14,947 "," 277,137 "
Jan-97," 63,078 "," 1,592 "," 28,869 "," 7,252 ", 774 ," 15,874 "," 11,069 "," 302,148 "
Feb-97," 45,225 "," 1,467 "," 62,532 "," 21,185 "," 2,296 "," 15,302 "," 14,213 "," 309,318 "
Mar-97," 40,207 "," 2,650 "," 59,136 "," 20,234 "," 2,288 "," 26,008 "," 22,950 "," 355,228 "
Apr-97," 46,012 "," 2,675 "," 67,127 "," 13,493 "," 7,577 "," 26,881 "," 20,253 "," 364,875 "
May-97," 46,758 "," 2,614 "," 59,279 "," 14,887 "," 3,278 "," 27,774 "," 17,737 "," 350,961 "
Jun-97," 42,544 "," 2,334 "," 64,609 "," 19,471 "," 1,357 "," 27,637 "," 15,084 "," 345,070 "
Jul-97," 64,169 "," 3,943 "," 95,774 "," 23,150 "," 1,453 "," 27,505 "," 22,772 "," 407,510 "
Aug-97," 76,104 "," 3,350 "," 67,890 "," 30,992 "," 1,140 "," 21,931 "," 22,050 "," 395,056 "
Sep-97," 40,507 "," 3,055 "," 61,654 "," 16,324 ", 865 ," 20,290 "," 17,098 "," 345,382 "
Oct-97," 49,969 "," 3,990 "," 73,791 "," 17,289 "," 3,029 "," 31,801 "," 23,641 "," 419,235 "
Nov-97," 41,747 "," 3,514 "," 47,476 "," 15,290 "," 1,175 "," 21,209 "," 19,188 "," 342,434 "
Dec-97," 30,979 "," 2,247 "," 37,648 "," 28,342 "," 1,285 "," 21,517 "," 17,607 "," 280,991 "
Jan-98," 25,939 "," 1,720 "," 61,963 "," 31,368 ", 759 ," 16,388 "," 15,555 "," 324,913 "
Feb-98," 24,397 "," 2,190 "," 50,668 "," 16,554 ", 583 ," 19,741 "," 21,276 "," 284,792 "
Mar-98," 26,124 "," 2,840 "," 40,423 "," 25,412 "," 1,467 "," 24,539 "," 24,535 "," 325,185 "
Apr-98," 28,891 "," 2,891 "," 59,948 "," 27,768 "," 3,207 "," 28,990 "," 25,276 "," 349,854 "
May-98," 29,440 "," 2,737 "," 50,924 "," 18,809 "," 1,454 "," 29,834 "," 16,580 "," 320,277 "
Jun-98," 26,907 "," 2,725 "," 68,681 "," 23,969 ", 863 ," 33,744 "," 15,699 "," 333,460 "
Jul-98," 39,260 "," 4,366 "," 91,987 "," 42,507 "," 1,072 "," 34,485 "," 25,600 "," 399,305 "
Aug-98," 42,661 "," 3,467 "," 88,227 "," 44,123 "," 1,154 "," 25,615 "," 25,909 "," 401,594 "
Sep-98," 27,393 "," 3,024 "," 53,333 "," 29,107 ", 998 ," 23,799 "," 18,545 "," 330,401 "
Oct-98," 34,961 "," 3,994 "," 75,996 "," 27,780 "," 2,464 "," 39,297 "," 27,177 "," 405,150 "
Nov-98," 33,456 "," 3,306 "," 57,005 "," 12,213 "," 1,196 "," 24,906 "," 17,794 "," 328,978 "
