Date,Korea2,China2,Taiwan2,Hong Kong2,Thailand2,USA2,Europe2,Grand Total2
Jan-96,51814,1538,24891,4212,708,14482,9599,276086
Feb-96,41380,1400,55635,16050,1475,15117,12083,283667
Mar-96,35576,1945,44421,9900,2081,24431,18023,310702
Apr-96,41980,2179,56436,12083,5617,25721,17853,329303
May-96,45169,2181,54288,8475,2405,25643,13797,326156
Jun-96,39452,2289,57163,14037,1378,27618,12888,316699
Jul-96,62764,2956,81947,19132,1659,27646,19916,377070
Aug-96,70499,2881,59920,16888,1236,20288,16853,345020
Sep-96,39335,3111,48245,7336,1514,21625,13919,311881
Oct-96,46401,3391,64067,7798,4546,31443,19774,366841
Nov-96,42493,3234,46691,7059,1746,22210,16195,316551
Dec-96,48171,2186,34488,10730,2095,21578,14947,277137
Jan-97,63078,1592,28869,7252,774,15874,11069,302148
Feb-97,45225,1467,62532,21185,2296,15302,14213,309318
Mar-97,40207,2650,59136,20234,2288,26008,22950,355228
Apr-97,46012,2675,67127,13493,7577,26881,20253,364875
May-97,46758,2614,59279,14887,3278,27774,17737,350961
Jun-97,42544,2334,64609,19471,1357,27637,15084,345070
Jul-97,64169,3943,95774,23150,1453,27505,22772,407510
Aug-97,76104,3350,67890,30992,1140,21931,22050,395056
Sep-97,40507,3055,61654,16324,865,20290,17098,345382
Oct-97,49969,3990,73791,17289,3029,31801,23641,419235
Nov-97,41747,3514,47476,15290,1175,21209,19188,342434
Dec-97,30979,2247,37648,28342,1285,21517,17607,280991
Jan-98,25939,1720,61963,31368,759,16388,15555,324913
Feb-98,24397,2190,50668,16554,583,19741,21276,284792
Mar-98,26124,2840,40423,25412,1467,24539,24535,325185
Apr-98,28891,2891,59948,27768,3207,28990,25276,349854
May-98,29440,2737,50924,18809,1454,29834,16580,320277
Jun-98,26907,2725,68681,23969,863,33744,15699,333460
Jul-98,39260,4366,91987,42507,1072,34485,25600,399305
Aug-98,42661,3467,88227,44123,1154,25615,25909,401594
Sep-98,27393,3024,53333,29107,998,23799,18545,330401
Oct-98,34961,3994,75996,27780,2464,39297,27177,405150
Nov-98,33456,3306,57005,12213,1196,24906,17794,328978
Dec-98,40850,2356,44934,19217,2597,27443,18092,302148
Jan-99,42485,2024,38191,9660,686,17530,12748,308764
Feb-99,37381,2449,79831,27422,1063,19135,15339,330460
Mar-99,34518,3108,51749,15191,1990,32180,24459,353512
Apr-99,39851,3112,83132,15971,6332,33983,23397,388777
May-99,35841,2606,70874,12929,2438,32716,18310,364474
Jun-99,35822,2851,82810,20919,1229,40828,16181,379914
Jul-99,56048,4192,111248,30079,1470,38545,26157,446236
Aug-99,64439,3812,80820,27743,1156,29505,26227,418094
Sep-99,37365,2734,61766,14756,1381,24899,20473,360579
Oct-99,43415,4007,61740,13452,3737,35858,29835,410942
Nov-99,40746,3435,61061,10987,1234,25976,19563,358193
Dec-99,48142,2823,46747,16354,1539,25726,17999,317918
Jan-00,53461,2674,36958,9026,731,17612,14004,335621
Feb-00,43734,2793,84653,23896,1213,17848,16285,360621
Mar-00,40126,3411,52813,14241,2253,31291,20454,365689
Apr-00,45335,3342,86612,21646,7410,35550,30656,443028
May-00,44268,3211,61699,11375,2661,34461,18319,381053
Jun-00,43448,3019,76891,18936,1506,44820,17812,400139
Jul-00,68221,5376,104311,25949,1583,40559,29838,483849
Aug-00,75467,4213,73973,19443,1244,29098,23645,423361
Sep-00,41785,3853,61603,14319,1403,24947,20396,379753
Oct-00,45900,5059,69298,13947,4626,37540,29251,443862
Nov-00,45062,4660,52116,12944,1746,27444,20522,378910
Dec-00,56890,3659,46334,19593,2076,28884,20216,361260
Jan-01,63298,4967,68496,27617,1115,20465,16098,416490
Feb-01,45526,2838,42476,12908,1432,18573,15742,315483
Mar-01,44805,4544,51913,24589,2672,33176,24356,401054
Apr-01,49027,5929,73406,21243,7634,39948,31886,449934
May-01,49301,6054,57905,12035,3196,34325,18961,390515
Jun-01,46768,5818,67635,18178,1586,50217,18943,403477
Jul-01,76138,9071,83626,23057,1722,42053,31179,479822
Aug-01,81668,9165,64059,21514,1550,29897,27818,433490
Sep-01,43291,6196,45512,13775,1433,21254,20372,354578
Oct-01,45036,7357,60084,13906,3768,32834,27035,403181
Nov-01,50069,5442,48170,12931,1382,23616,20036,354484
Dec-01,58443,4737,44783,25109,2274,30751,22107,369047
