Date,Inbound,Outbound,GDP, USDJPY
1/1/1996,276086,,,
2/1/1996,283667,,,
3/1/1996,310702,,,
4/1/1996,329303,,,
5/1/1996,326156,,,
6/1/1996,316699,,70224.95,
7/1/1996,377070,,,
8/1/1996,345020,,,
9/1/1996,311881,,,
10/1/1996,366841,,,
11/1/1996,316551,,,113.5
12/1/1996,277137,,,113.699997
1/1/1997,302148,,,115.949997
2/1/1997,309318,,,121.32
3/1/1997,355228,,,120.449997
4/1/1997,364875,,,123.940002
5/1/1997,350961,,,127.099998
6/1/1997,345070,,71481.4,116.290001
7/1/1997,407510,,,114.709999
8/1/1997,395056,,,118.449997
9/1/1997,345382,,,120.480003
10/1/1997,419235,,,120.449997
11/1/1997,342434,,,120.400002
12/1/1997,280991,,,127.790001
1/1/1998,324913,,,130.570007
2/1/1998,284792,,,126.849998
3/1/1998,325185,,,126.050003
4/1/1998,349854,,,133.130005
5/1/1998,320277,,,132.699997
6/1/1998,333460,,71085,138.300003
7/1/1998,399305,,,138.279999
8/1/1998,401594,,,144.649994
9/1/1998,330401,,,139.350006
10/1/1998,405150,,,136.360001
11/1/1998,328978,,,116.300003
12/1/1998,302148,,,122.900002
1/1/1999,308764,,,113.199997
2/1/1999,330460,,,115.82
3/1/1999,353512,,,119.269997
4/1/1999,388777,,,118.730003
5/1/1999,364474,,,119.400002
6/1/1999,379914,,71417.95,121.620003
7/1/1999,446236,,,120.900002
8/1/1999,418094,,,114.480003
9/1/1999,360579,,,109.739998
10/1/1999,410942,,,106.129997
11/1/1999,358193,,,104.160004
12/1/1999,317918,,,102.059998
1/1/2000,335621,1228599,,102.18
2/1/2000,360621,1414251,,107.190002
3/1/2000,365689,1573517,,110.07
4/1/2000,443028,1305417,,102.940002
5/1/2000,381053,1369655,,108.120003
6/1/2000,400139,1421924,71838.025,107.620003
7/1/2000,483849,1583129,,106.040001
8/1/2000,423361,1759090,,109.269997
9/1/2000,379753,1677031,,106.660004
10/1/2000,443862,1522313,,108.129997
11/1/2000,378910,1531695,,108.779999
12/1/2000,361260,1431969,,110.379997
1/1/2001,416490,1361711,,114.610001
2/1/2001,315483,1501532,,116.589996
3/1/2001,401054,1612008,,117.269997
4/1/2001,449934,1370049,,126.110001
5/1/2001,390515,1366727,,123.389999
6/1/2001,403477,1460542,72334.25,119.209999
7/1/2001,479822,1596737,,124.650002
8/1/2001,433490,1791166,,125
9/1/2001,354578,1331411,,118.739998
10/1/2001,403181,925142,,119.5
11/1/2001,354484,860698,,122.400002
12/1/2001,369047,1037934,,123.459999
1/1/2002,392588,1125330,,131.669998
2/1/2002,400081,1193791,,134.889999
3/1/2002,434034,1434275,,133.429993
4/1/2002,460377,1240563,,132.949997
5/1/2002,438537,1279403,,128.509995
6/1/2002,441123,1244200,72197.725,124.099998
7/1/2002,516013,1420406,,119.610001
8/1/2002,484771,1668593,,119.769997
9/1/2002,401407,1643681,,118.910004
10/1/2002,471813,1483874,,121.830002
11/1/2002,404537,1396561,,122.459999
12/1/2002,393682,1392127,,122.550003
1/1/2003,450847,1262094,,118.75
2/1/2003,394869,1318859,,119.940002
3/1/2003,456614,1256784,,118.089996
4/1/2003,354054,719127,,118
5/1/2003,288562,567832,,118.830002
6/1/2003,352431,662259,71910.925,119.300003
7/1/2003,515692,973241,,119.660004
8/1/2003,550380,1295385,,120.540001
9/1/2003,457574,1358511,,116.660004
10/1/2003,527859,1295142,,111.279999
11/1/2003,444435,1259963,,110
12/1/2003,418408,1327133,,109.830002
1/1/2004,538334,1189547,,106.949997
2/1/2004,417519,1256253,,105.650002
3/1/2004,488778,1312696,,109.089996
4/1/2004,546662,1208082,,104.199997
5/1/2004,500830,1269328,,110.25
6/1/2004,505003,1350207,72435.625,109.5
7/1/2004,610190,1468142,,108.849998
8/1/2004,567869,1676206,,111.449997
9/1/2004,481570,1639445,,109.160004
10/1/2004,539353,1556712,,110.07
11/1/2004,486403,1484702,,105.800003
12/1/2004,455394,1419792,,102.889999
1/1/2005,516280,1453740,,102.510002
2/1/2005,519460,1374771,,103.610001
